,CID,Last Name,First Last,Bioguide ID,Office,Party,First Elected,Birth Date,Website
0,N00044245,Carl,Jerry Carl,C001054,AL01,R,2020,06/17/58,https://carl.house.gov/
1,N00041295,Moore,Barry Moore,M001212,AL02,R,2020,09/02/66,https://barrymoore.house.gov/
2,N00024759,Rogers,Mike D Rogers,R000575,AL03,R,2002,1958-07-16,https://mikerogers.house.gov
3,N00003028,Aderholt,Robert B Aderholt,A000055,AL04,R,1996,1965-07-22,https://aderholt.house.gov
4,N00030910,Brooks,Mo Brooks,B001274,AL05,R,2010,1954-04-29,https://brooks.house.gov
5,N00035691,Palmer,Gary Palmer,P000609,AL06,R,2014,1954-05-14,https://palmer.house.gov
6,N00030622,Sewell,Terri Sewell,S001185,AL07,D,2010,1965-01-01,https://sewell.house.gov
7,N00044434,Tuberville,Tommy Tuberville,T000278,ALS1,R,2020,09/18/54,https://www.tuberville.senate.gov/
8,N00009920,Shelby,Richard C Shelby,S000320,ALS2,R,1986,1934-05-06,https://www.shelby.senate.gov
9,N00007999,Young,Don Young,Y000033,AK01,R,1973,1933-06-09,http://donyoung.house.gov
10,N00035774,Sullivan,Dan Sullivan,S001198,AKS1,R,2014,1964-11-13,https://www.sullivan.senate.gov
11,N00026050,Murkowski,Lisa Murkowski,M001153,AKS2,R,2002,1957-05-22,https://www.murkowski.senate.gov
12,N00037515,O'Halleran,Tom O'Halleran,O000171,AZ01,D,2016,1946-01-24,https://ohalleran.house.gov
13,N00029260,Kirkpatrick,Ann Kirkpatrick,K000368,AZ02,D,2018,1950-03-24,http://kirkpatrick.house.gov
14,N00025284,Grijalva,Raul M Grijalva,G000551,AZ03,D,2002,1948-02-19,https://grijalva.house.gov
15,N00030771,Gosar,Paul Gosar,G000565,AZ04,R,2010,1958-11-22,http://gosar.house.gov
16,N00039293,Biggs,Andy Biggs,B001302,AZ05,R,2016,1958-11-07,https://biggs.house.gov
